Lawyer ID,Name,Seniority,Status,Gender,Office,Years with Firm,Age,Practice Area,Law School,Hours Worked,Fees Brought In,Attitudes
1,Lawyer_1,2,1,1,3,22,38,2,2,1627,619055,Attitude_9
2,Lawyer_2,1,1,1,1,12,51,1,3,1925,604911,Attitude_9
4,Lawyer_4,1,1,1,3,19,57,1,1,2109,684887,Attitude_3
8,Lawyer_8,2,1,2,2,12,39,1,2,1965,473312,Attitude_8
17,Lawyer_17,2,1,2,2,16,36,2,1,2215,517644,Attitude_6
16,Lawyer_16,2,1,1,3,18,59,2,1,1733,590731,Attitude_2
22,Lawyer_22,2,1,1,2,14,49,2,2,1917,476849,Attitude_1
26,Lawyer_26,1,1,1,2,12,48,2,2,2113,619046,Attitude_1
3,Lawyer_3,2,1,2,2,11,41,1,1,2008,515804,Attitude_9
9,Lawyer_9,1,1,1,3,10,54,2,3,1931,380866,Attitude_10
11,Lawyer_11,1,1,2,3,14,49,1,1,2028,489901,Attitude_7
12,Lawyer_12,2,1,1,2,13,54,1,1,1997,403197,Attitude_3
14,Lawyer_14,1,1,1,1,16,47,1,1,2397,513444,Attitude_4
19,Lawyer_19,2,1,2,3,9,39,1,2,1890,444372,Attitude_9
21,Lawyer_21,2,1,2,3,15,52,1,3,2129,595010,Attitude_5
23,Lawyer_23,2,1,1,2,22,32,1,2,1930,424538,Attitude_6
27,Lawyer_27,1,1,1,1,12,52,1,1,2218,539176,Attitude_10
29,Lawyer_29,1,1,2,3,12,57,2,3,2103,406034,Attitude_6
5,Lawyer_5,1,1,2,2,21,39,1,2,2198,338538,Attitude_1
7,Lawyer_7,2,1,2,3,16,50,2,1,2129,473064,Attitude_8
18,Lawyer_18,1,1,2,3,22,34,2,2,2061,405799,Attitude_5
25,Lawyer_25,1,1,1,2,9,43,1,3,1905,424417,Attitude_9
24,Lawyer_24,1,1,2,1,16,34,2,1,2214,477857,Attitude_1
10,Lawyer_10,1,1,1,3,21,45,1,3,2215,433979,Attitude_10
13,Lawyer_13,2,1,2,3,9,62,1,2,2415,441567,Attitude_7
34,Lawyer_34,1,1,2,1,16,38,1,2,2221,390911,Attitude_4
38,Lawyer_38,1,1,2,3,10,42,1,1,1690,437937,Attitude_5
15,Lawyer_15,2,1,1,2,17,64,2,3,2004,462314,Attitude_2
20,Lawyer_20,2,1,1,1,14,35,1,1,2022,396322,Attitude_4
41,Lawyer_41,2,1,2,1,19,46,1,3,1749,612139,Attitude_10
43,Lawyer_43,2,1,2,3,11,55,2,3,2227,545280,Attitude_4
52,Lawyer_52,1,1,2,3,18,66,1,2,2158,418855,Attitude_1
6,Lawyer_6,1,1,1,2,5,42,2,3,2161,455550,Attitude_6
28,Lawyer_28,2,1,2,1,15,38,1,3,1957,339034,Attitude_2
50,Lawyer_50,1,1,2,2,13,47,1,3,1878,537672,Attitude_6
37,Lawyer_37,1,1,2,1,17,40,2,2,2087,523870,Attitude_5
32,Lawyer_32,1,1,2,1,13,64,1,3,1733,545449,Attitude_4
39,Lawyer_39,1,1,1,1,19,46,1,1,2491,430848,Attitude_2
40,Lawyer_40,1,1,2,2,9,46,2,3,2071,546514,Attitude_1
31,Lawyer_31,2,1,1,3,12,52,2,1,1889,687923,Attitude_7
33,Lawyer_33,2,1,1,1,18,50,2,2,1899,694572,Attitude_6
35,Lawyer_35,1,1,2,3,11,45,2,1,1858,653774,Attitude_5
51,Lawyer_51,2,1,1,2,17,57,1,1,2247,391290,Attitude_7
58,Lawyer_58,1,1,1,3,13,56,2,2,1953,668252,Attitude_3
46,Lawyer_46,2,1,1,1,20,55,2,1,2000,439409,Attitude_1
60,Lawyer_60,1,1,2,3,21,40,1,1,2063,564310,Attitude_4
36,Lawyer_36,1,1,2,1,17,45,2,1,1875,534891,Attitude_5
57,Lawyer_57,1,1,1,3,19,57,2,1,2050,461145,Attitude_8
30,Lawyer_30,1,1,2,1,15,48,2,2,1848,691289,Attitude_9
42,Lawyer_42,1,1,1,2,14,40,2,3,1951,498816,Attitude_6
54,Lawyer_54,2,1,2,1,11,54,2,3,2022,378086,Attitude_2
56,Lawyer_56,2,1,2,3,14,70,2,1,1948,614405,Attitude_2
48,Lawyer_48,1,1,2,3,15,53,2,1,2092,448702,Attitude_7
49,Lawyer_49,1,1,2,1,18,55,2,1,1783,284167,Attitude_4
64,Lawyer_64,2,1,1,2,13,48,2,1,2150,433959,Attitude_9
45,Lawyer_45,2,1,2,1,7,45,1,1,1927,520897,Attitude_6
55,Lawyer_55,1,1,2,3,19,43,2,2,2024,635061,Attitude_7
65,Lawyer_65,1,1,1,1,17,31,2,3,1886,556024,Attitude_5
62,Lawyer_62,1,1,2,2,21,31,2,1,2031,414656,Attitude_2
59,Lawyer_59,1,1,2,2,11,37,1,2,2254,415964,Attitude_9
53,Lawyer_53,1,1,1,2,15,44,1,2,2001,248978,Attitude_6
61,Lawyer_61,1,1,1,2,15,34,2,3,1956,544109,Attitude_10
63,Lawyer_63,1,1,1,2,13,57,1,3,1978,495994,Attitude_1
66,Lawyer_66,2,1,2,1,17,56,2,2,2241,490643,Attitude_2
69,Lawyer_69,2,1,1,1,12,48,1,1,2084,514212,Attitude_4
70,Lawyer_70,2,1,1,3,8,53,1,1,2269,507993,Attitude_4
71,Lawyer_71,2,1,1,1,11,55,2,1,2400,582505,Attitude_7
68,Lawyer_68,2,1,1,2,14,46,1,3,1819,619263,Attitude_6
67,Lawyer_67,2,1,1,1,19,33,2,1,2146,579387,Attitude_8
