C0 { level:2, mode:online }
C1 { level:2, mode:online }
C2 { level:1, mode:online }
C3 { level:5, mode:offline }
C4 { level:5, mode:offline }
C5 { level:3, mode:offline }
C6 { level:3, mode:online }
C7 { level:5, mode:online }
C8 { level:1, mode:online }
C9 { level:5, mode:offline }
C10 { level:4, mode:online }
C11 { level:5, mode:offline }
C12 { level:2, mode:offline }
C13 { level:4, mode:online }
C14 { level:1, mode:online }
C15 { level:2, mode:online }
C16 { level:1, mode:offline }
C17 { level:3, mode:offline }
C18 { level:5, mode:offline }
C19 { level:1, mode:online }
C20 { level:3, mode:offline }
C21 { level:5, mode:offline }
C22 { level:4, mode:offline }
C23 { level:5, mode:online }
C24 { level:2, mode:offline }
C25 { level:3, mode:online }
C26 { level:4, mode:online }
C27 { level:5, mode:offline }
C28 { level:4, mode:online }
C29 { level:2, mode:offline }
C30 { level:2, mode:online }
C31 { level:3, mode:offline }
C32 { level:3, mode:offline }
C33 { level:5, mode:offline }
C34 { level:1, mode:online }
C35 { level:5, mode:online }
C36 { level:3, mode:online }
C37 { level:4, mode:offline }
C38 { level:3, mode:online }
C39 { level:3, mode:offline }
C40 { level:2, mode:offline }
C41 { level:3, mode:online }
C42 { level:3, mode:offline }
C43 { level:3, mode:offline }
C44 { level:1, mode:online }
C45 { level:4, mode:offline }
C46 { level:5, mode:online }
C47 { level:3, mode:offline }
C48 { level:3, mode:offline }
C49 { level:1, mode:offline }
C50 { level:5, mode:offline }
C51 { level:4, mode:offline }
C52 { level:1, mode:offline }
C53 { level:1, mode:offline }
C54 { level:5, mode:offline }
C55 { level:1, mode:offline }
C56 { level:4, mode:online }
C57 { level:1, mode:online }
C58 { level:5, mode:offline }
