I0 { service:17,  domain:ML }
I1 { service:22,  domain:AI }
I2 { service:23,  domain:AI }
I3 { service:15,  domain:AI }
I4 { service:12,  domain:ML }
I5 { service:23,  domain:AI }
I6 { service:20,  domain:AI }
I7 { service:18,  domain:DataMining }
I8 { service:26,  domain:ML }
I9 { service:10,  domain:AI }
I10 { service:19,  domain:AI }
I11 { service:28,  domain:AI }
I12 { service:19,  domain:AI }
I13 { service:22,  domain:DataMining }
I14 { service:20,  domain:AI }
I15 { service:29,  domain:ML }
I16 { service:26,  domain:AI }
I17 { service:7,  domain:DataMining }
I18 { service:22,  domain:AI }
I19 { service:18,  domain:ML }
I20 { service:14,  domain:AI }
I21 { service:15,  domain:AI }
I22 { service:23,  domain:DataMining }
I23 { service:29,  domain:ML }
I24 { service:23,  domain:AI }
I25 { service:16,  domain:DataMining }
I26 { service:30,  domain:ML }
I27 { service:9,  domain:DataMining }
I28 { service:22,  domain:ML }
I29 { service:21,  domain:DataMining }
I30 { service:13,  domain:AI }
I31 { service:6,  domain:AI }
I32 { service:14,  domain:ML }
I33 { service:27,  domain:DataMining }
I34 { service:9,  domain:ML }
I35 { service:24,  domain:ML }
I36 { service:12,  domain:AI }
I37 { service:23,  domain:ML }
I38 { service:7,  domain:DataMining }
I39 { service:18,  domain:AI }
I40 { service:12,  domain:AI }
I41 { service:8,  domain:DataMining }
I42 { service:19,  domain:AI }
I43 { service:30,  domain:ML }
I44 { service:29,  domain:DataMining }
I45 { service:26,  domain:ML }
I46 { service:16,  domain:DataMining }
I47 { service:28,  domain:ML }
I48 { service:12,  domain:DataMining }
I49 { service:6,  domain:AI }
I50 { service:5,  domain:ML }
I51 { service:14,  domain:AI }
I52 { service:30,  domain:AI }
I53 { service:12,  domain:DataMining }
I54 { service:8,  domain:DataMining }
I55 { service:16,  domain:ML }
I56 { service:28,  domain:DataMining }
I57 { service:12,  domain:AI }
I58 { service:17,  domain:ML }
I59 { service:25,  domain:ML }
I60 { service:12,  domain:ML }
I61 { service:27,  domain:AI }
I62 { service:11,  domain:DataMining }
I63 { service:17,  domain:DataMining }
I64 { service:17,  domain:DataMining }
