U0 {utype:Private, rank:68 }
U1 {utype:Public, rank:47 }
U2 {utype:International, rank:100 }
U3 {utype:Private, rank:30 }
U4 {utype:Private, rank:24 }
U5 {utype:Private, rank:20 }
U6 {utype:International, rank:4 }
U7 {utype:International, rank:55 }
U8 {utype:International, rank:82 }
U9 {utype:Public, rank:70 }
U10 {utype:Public, rank:3 }
U11 {utype:Public, rank:98 }
U12 {utype:Public, rank:15 }
U13 {utype:Public, rank:44 }
U14 {utype:International, rank:57 }
U15 {utype:Public, rank:39 }
U16 {utype:Private, rank:45 }
U17 {utype:Private, rank:91 }
U18 {utype:Public, rank:91 }
U19 {utype:International, rank:9 }
U20 {utype:Public, rank:47 }
U21 {utype:Private, rank:12 }
U22 {utype:Public, rank:54 }
U23 {utype:International, rank:15 }
U24 {utype:Private, rank:93 }
U25 {utype:Private, rank:14 }
U26 {utype:Private, rank:55 }
U27 {utype:International, rank:99 }
U28 {utype:International, rank:26 }
U29 {utype:Public, rank:41 }
U30 {utype:Public, rank:9 }
U31 {utype:Public, rank:49 }
U32 {utype:International, rank:57 }
U33 {utype:Private, rank:24 }
U34 {utype:Private, rank:82 }
U35 {utype:International, rank:12 }
U36 {utype:Public, rank:45 }
U37 {utype:Public, rank:69 }
U38 {utype:International, rank:88 }
U39 {utype:Public, rank:39 }
U40 {utype:Private, rank:81 }
U41 {utype:International, rank:55 }
U42 {utype:Public, rank:51 }
U43 {utype:Public, rank:73 }
U44 {utype:International, rank:91 }
U45 {utype:Private, rank:37 }
U46 {utype:International, rank:63 }
U47 {utype:Private, rank:15 }
U48 {utype:International, rank:89 }
U49 {utype:Public, rank:45 }
U50 {utype:Public, rank:96 }
U51 {utype:International, rank:95 }
U52 {utype:International, rank:34 }
U53 {utype:International, rank:34 }
U54 {utype:Public, rank:31 }
U55 {utype:International, rank:70 }
U56 {utype:Public, rank:75 }
U57 {utype:International, rank:94 }
U58 {utype:Private, rank:75 }
U59 {utype:Public, rank:69 }
U60 {utype:Private, rank:67 }
U61 {utype:Public, rank:35 }
U62 {utype:Public, rank:75 }
U63 {utype:Private, rank:31 }
U64 {utype:Public, rank:38 }
U65 {utype:Private, rank:56 }
U66 {utype:Public, rank:78 }
U67 {utype:Private, rank:37 }
U68 {utype:Public, rank:78 }
U69 {utype:Public, rank:6 }
U70 {utype:International, rank:57 }
U71 {utype:Private, rank:5 }
U72 {utype:Public, rank:70 }
U73 {utype:Public, rank:36 }
U74 {utype:Private, rank:19 }
U75 {utype:Public, rank:39 }
